Kabupaten/Kota,Produksi Alpukat (kuintal) (Kw),Produksi Anggur (kuintal) (Kw),Produksi Apel (kuintal) (Kw),Produksi Belimbing (kuintal) (Kw),Produksi Duku/Langsat/Kokosan (kuintal) (Kw),Produksi Durian (kuintal) (Kw),Produksi Jambu Air (kuintal) (Kw),Produksi Jambu Biji (kuintal) (Kw),Produksi Jengkol (kuintal) (Kw),Produksi Jeruk Besar (kuintal) (Kw),Produksi Jeruk Siam/Keprok (kuintal) (Kw),Produksi Mangga (kuintal) (Kw),Produksi Manggis (kuintal) (Kw),Produksi Melinjo (kuintal) (Kw),Produksi Nangka/Cempedak (kuintal) (Kw),Produksi Nenas (kuintal) (Kw),Produksi Pepaya (kuintal) (Kw),Produksi Petai (kuintal) (Kw),Produksi Pisang (kuintal) (Kw),Produksi Rambutan (kuintal) (Kw),Produksi Salak (kuintal) (Kw),Produksi Sawo (kuintal) (Kw),Produksi Sirsak (kuintal) (Kw),Produksi Sukun (kuintal) (Kw),Produksi Buah Naga (kuintal) (Kw),Produksi Jeruk Lemon (kuintal) (Kw),Produksi Lengkeng (kuintal) (Kw)
Lampung Barat,27877,,,908,628,6346,4833.2,3181,6767,232,2682,4813,7309.9,1140,3651,434,10214,3834,64291,52610,1287,3799,988,1303,384,478,531
Tanggamus,26537.06,,,148.24,2282.2,32054.64,1148.18,12012.84,2666,,369,4495.72,22395.5,2989.5,1329.18,104.14,10431.6,2757.64,58965.2,1706.8,23944.5,2063.47,220.56,103,80.5,266.54,76
Lampung Selatan,26899,5,,9611,10000,28168,17859,10358,31751,2989,312076,28417,461,47840,76605,1064,82317,71570,5123700,29875,10562,23637,2534,17277,3675,3388,6766
Lampung Timur,57882.6,452.7,,2807.13,30588.02,140808.31,103836.75,53917.19,13215.98,13,220379.41,28961.08,388.44,15663.06,255316.57,12165.92,115702.34,18092.96,1173056.17,91858.22,5001.4,24481.68,5670.75,16377.34,19308.71,575.84,31629.46
Lampung Tengah,10318.12,0.45,,923.04,149.5,11038.44,3982.75,79801.51,5238.39,,570.82,5432.73,1569.33,6335.58,45857.56,8597430.92,15772.09,7578.44,857041.92,3734.45,396.57,13049.6,1024.25,6711.43,726.07,119.7,2816.65
Lampung Utara,15458.9,,,2774.93,14624.76,11203.87,3686,2975.78,5890.24,,41287,28548.75,137.15,1220.2,55113.06,2126.5,8445.64,5023.07,138994.9,12485.4,95,6578.7,1310.74,1925.7,,218,10
Way Kanan,4682.83,,,1512.5,1485.68,2852.4,3529.58,3530.61,11112.7,,1748.15,4883.4,165,1668.9,7293.84,356.25,6164.53,7871.16,45127.41,4740.69,882.25,5125.15,461,1911.34,2342.85,18.05,2301.2
Tulangbawang,9019,,,5093,321,1431,7141,4096,13188,936,5982,12414,3,2750,22318,1735.8,9439,5812,44270,13031,1385,13786,6403,2986,1969,40,2813
Pesawaran,15239.8,20,,469,36001.2,21092.37,2787.68,3823.07,3692.25,,118494,9586.8,381,41566.07,2889.41,552.55,2102.07,6044.54,4497809.35,10391.12,3364.2,12353.6,907.94,5887.44,62,2.75,570.96
Pringsewu,5412,25,,1223.1,60,1119,1112.95,1742.85,1513.5,,333,6628.2,18.75,248,1788,23.85,49516.55,589.5,47976,2107.91,26,2835,1410.85,494.8,5414,132,270.9
Mesuji,296.7,,,129.92,,,39,512.5,3461.38,,2422.85,410.5,,379.24,2465.88,541.5,3823.9,378.9,112533,,700,1745.5,95.4,180,,,
Tulang Bawang Barat,9078.8,163,,1539,,155,6253.15,5534,17406.1,,3478,9002.83,,2081,47836.8,77.24,8746,3582.51,21372.58,4915.82,12,1050.8,1276.28,3244,323.3,524,992.26
Pesisir Barat,7830.72,,,1630.07,7823.15,17005.27,1915.54,1100.9,16429.77,,17727.49,5025.33,1452.23,4625.76,4719.07,434.09,29786.49,5658.32,21705.96,888.62,126.44,6579.75,2238.4,1994.39,52.71,1637.64,306.36
Kota Bandar Lampung,6551.27,54.3,,1077.62,134,2622.9,2334.71,5143.69,1624.45,,15.65,6870.25,545,16081.55,3948.99,1.09,38430.09,2063.4,22010.93,487.3,50121,517.79,327.26,416.55,1127.1,9.15,64.4
Kota Metro,1117.15,6,,100.8,,,345.4,566,74.5,,206,708.2,,493,2600.9,10.22,1365,152.69,1238.9,160,,597.95,195.06,360,4,68.4,147.4
Lampung,224200.95,726.45,,29947.35,104097.51,275897.2,160804.89,188295.94,134031.26,4170,727771.37,156197.79,34826.3,145081.86,533733.26,8617058.07,392256.3,141009.13,12230093.32,228992.33,97903.36,118200.99,25063.49,61171.99,35469.24,7478.07,49295.59
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catatan,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angka tetap,,,,,,,,,,,,,,,,,,,,,,,,,,,
