Kabupaten/Kota,Produksi Alpukat (kuintal) (Kw),Produksi Anggur (kuintal) (Kw),Produksi Apel (kuintal) (Kw),Produksi Belimbing (kuintal) (Kw),Produksi Duku/Langsat/Kokosan (kuintal) (Kw),Produksi Durian (kuintal) (Kw),Produksi Jambu Air (kuintal) (Kw),Produksi Jambu Biji (kuintal) (Kw),Produksi Jengkol (kuintal) (Kw),Produksi Jeruk Besar (kuintal) (Kw),Produksi Jeruk Siam/Keprok (kuintal) (Kw),Produksi Mangga (kuintal) (Kw),Produksi Manggis (kuintal) (Kw),Produksi Nangka/Cempedak (kuintal) (Kw),Produksi Nenas (kuintal) (Kw),Produksi Pepaya (kuintal) (Kw),Produksi Pisang (kuintal) (Kw),Produksi Rambutan (kuintal) (Kw),Produksi Salak (kuintal) (Kw),Produksi Sawo (kuintal) (Kw),Produksi Sirsak (kuintal) (Kw),Produksi Sukun (kuintal) (Kw),Produksi Buah Naga (kuintal) (Kw),Produksi Jeruk Lemon (kuintal) (Kw),Produksi Lengkeng (kuintal) (Kw)
Lampung Barat,43812.26,,,1402.66,2112.04,13471.78,5982.41,2855.53,9857.6,19.95,14601,2791.32,8484.25,5382.18,1744.75,32800.19,145565.54,1578.5,4303.74,3276.37,647.18,846,1497.3,978.3,16.64
Tanggamus,30995.64,,,206.75,2568.28,29123.2,717.31,4684.56,3588.6,,257,4011.98,11567.45,911,61.15,24326.5,49764,481.12,25835,279.11,346,299.5,64.5,306.2,452.5
Lampung Selatan,42958.8,58,,10208,10030,49039.5,21275,10272,34249,3993,449302,62009,988,70083.25,1993,135538.5,5704343.15,23150.3,12019.5,27642.5,2999.85,16255.7,1287.3,4504,6667
Lampung Timur,126069.11,368.35,,4651.04,51513.53,258452.12,234829.65,81978.22,58869.56,17.25,352100.38,69824.16,1513.03,106091.42,29251.7,525472.94,1849250.73,158182.39,17613.26,59455.49,14062.37,65911.18,16571.16,5750.54,55209.28
Lampung Tengah,12127.73,1.25,,770.72,202.75,13241.18,4004.09,3077.5,9180.18,,1078.36,13763.98,238.72,39102.75,7188590.96,29650.23,996923.42,8922.45,522.15,15191.8,931.9,6307.11,830.85,329.23,1849.93
Lampung Utara,25039.95,,,97.4,1009.8,2887.4,1583.9,955.6,9552.4,,108227.5,20295.7,522.5,47432.65,2052,4459.5,71075.4,3762.7,,5134.45,279.5,541.5,,444,255
Way Kanan,4053.16,9,,642.3,653.8,7727.82,1370.51,1411.54,7562.6,,3783,7146.7,39,4485.32,285.2,3735.2,48223.23,4859.27,119.45,1502.12,292.7,558.9,1712.65,148.72,1538.4
Tulangbawang,9440,400,,1612,111,1284,7933,4111,13112,841,10536,17835,9,17877,2828,12449,48857,9767,917,11836,4986,2829,1061,33,4105
Pesawaran,14377.98,45,,445.64,11361.24,59294.49,3959.6,9116.05,4783.5,,118255.5,10646.1,334,3492.72,401.25,8526.6,4075996,6762.86,2650.14,9056.35,867.01,5349.43,69.35,2.75,792.3
Pringsewu,27930.3,15.4,,1291.6,120,1978.32,1353.4,1511,990.7,,904,7738,86,3105,20.17,26383.06,47322,1589,5,1731,435.04,255.5,7802,229.2,300.6
Mesuji,572.32,,,321.55,,,820.6,2488.8,6582.65,,5459.4,6561.9,,6090.85,570.53,4029.5,110674,,1222.5,4255.7,192.1,361.5,,,
Tulang Bawang Barat,4804.13,91.4,,1506.37,,497.6,5709.22,4770.83,16962.5,,3274.12,25693.42,,49962,117.74,8496.3,21806.5,5983.6,18.34,2440,209.99,3241.7,224,526,221.6
Pesisir Barat,8193.66,,,1430.81,4814.31,11649.06,2137.73,1508.43,11696.46,,18650.38,7219.95,1378.22,3729.57,540.04,80991.89,17500.83,524,62.62,4193.71,851.1,1862.51,363.09,6431.61,189.88
Kota Bandar Lampung,6132.4,22.78,,288.31,37.5,1915.03,541.92,26564.15,675.55,,,5676.28,18.6,3962.73,5.96,25795.29,30856.8,233.4,143800,554.66,67.25,316.85,314.73,6.3,26.71
Kota Metro,3151.99,9.2,,218.05,,461.6,305.66,338.3,693.7,,435.65,1949.69,,3704.14,3.17,2477.96,2140.84,633.78,,866.5,308.28,241.45,15.8,6.45,21.06
Lampung,359659.43,1020.38,,25093.2,84534.25,451023.1,292524,155643.51,188357,4871.2,1086864.29,263163.18,25178.77,365412.58,7228465.62,925132.66,13220299.44,226430.37,209088.7,147415.76,27476.27,105177.83,31813.73,19696.3,71645.9
,,,,,,,,,,,,,,,,,,,,,,,,,
Catatan,,,,,,,,,,,,,,,,,,,,,,,,,
Penambahan komoditas melinjo dan petai,,,,,,,,,,,,,,,,,,,,,,,,,
