Kabupaten/Kota,Produksi Alpukat (kuintal) (Kw),Produksi Anggur (kuintal) (Kw),Produksi Apel (kuintal) (Kw),Produksi Belimbing (kuintal) (Kw),Produksi Duku/Langsat/Kokosan (kuintal) (Kw),Produksi Durian (kuintal) (Kw),Produksi Jambu Air (kuintal) (Kw),Produksi Jambu Biji (kuintal) (Kw),Produksi Jengkol (kuintal) (Kw),Produksi Jeruk Besar (kuintal) (Kw),Produksi Jeruk Siam/Keprok (kuintal) (Kw),Produksi Mangga (kuintal) (Kw),Produksi Manggis (kuintal) (Kw),Produksi Melinjo (kuintal) (Kw),Produksi Nangka/Cempedak (kuintal) (Kw),Produksi Nenas (kuintal) (Kw),Produksi Pepaya (kuintal) (Kw),Produksi Petai (kuintal) (Kw),Produksi Pisang (kuintal) (Kw),Produksi Rambutan (kuintal) (Kw),Produksi Salak (kuintal) (Kw),Produksi Sawo (kuintal) (Kw),Produksi Sirsak (kuintal) (Kw),Produksi Sukun (kuintal) (Kw),Produksi Buah Naga (kuintal) (Kw),Produksi Jeruk Lemon (kuintal) (Kw),Produksi Lengkeng (kuintal) (Kw)
Lampung Barat,54820.8,,,1082.6,1370.3,16120.64,1504,2021.8,5226.1,256,16891.3,3297.4,9087,1183.45,6215.8,705.3,64368.35,5205.7,140608.2,1161.3,2471,3399.4,433.2,831.2,1471.3,777,101.95
Tanggamus,10709.1,113,,81.99,6453.56,18280.1,838.6,3239.4,2039.7,26,175.6,2589.65,8679.9,5769.25,1872.1,17.95,7118.67,4150.1,36375.8,1183.44,11052.27,266.07,84.6,263.1,480.75,229.47,70
Lampung Selatan,46896.21,30,,6608.92,27947.9,166817.87,15272.98,9609.2,24399.75,40234.9,373933.93,109001.85,2851.26,29504.9,67332.21,1562.22,65927.1,57000,7559836.54,47503.96,21460.39,28820.46,7041.39,27101.64,1307,5629.2,6537.25
Lampung Timur,196961,1949.9,,11408.8,73917.3,379198.86,241861.8,155806.2,72042.5,25.76,396842.75,90675.8,2549.8,54871.4,182446.72,21327.04,537335,111326.16,2355619.05,361627.03,29664.15,181037.22,18537,90570.36,16907.1,6138,32415.38
Lampung Tengah,10204.85,5.73,,432.23,130.15,7927.01,3000.61,1440.58,13392.32,,1951.66,10680.73,66.17,6495.51,34418.42,6943489.26,22634.1,5102.1,1201601.81,4601.02,473.69,10951.93,928.58,6307.09,766.12,204.25,1831.87
Lampung Utara,23448,,,25,3817,15721,641,1063,7917,,68399,37848,493,80,55610,563,2720,2555,89073,5773,,3050,55,1364,,937,
Way Kanan,25083.15,1,,1329.7,3955.49,23198.6,2373.18,6204.52,8376.85,9.58,2822.88,18465.21,787.3,1695.65,8519.63,627.96,4730.11,4664.28,63423.46,17166.24,210.62,2911.89,636.81,659,295.45,27.5,2169.12
Tulangbawang,15182.35,,,1875.57,312,984,8678.14,4236.05,11533.05,1480,18474.77,20255.86,15,2198,16580.81,1879.14,6921.04,5582.53,32697.72,13337.3,451,14723.2,11939.14,4159.2,1189.7,13.94,2931.5
Pesawaran,13834.56,45.4,,455.2,10454.94,17088.83,3496.08,4078.02,5011.5,,98534.5,11033.55,342,25577.34,3241.85,373.75,9082.07,4657.09,4165898.5,6535.87,2213.4,8339.1,839.72,5190.56,70.8,2.5,750.63
Pringsewu,29259.5,71.9,,1088,54,27143.5,1651,2740.57,1572.46,,1934,17752,79.34,1262.3,4378,16.3,6193,6839,30584.9,3125,47,1109,176,250.5,12441,276.5,952
Mesuji,623.62,,,599.85,,,1605.65,2899.85,7615.8,,5339.15,2955.2,,818.37,6335.33,438.99,4159.2,456.7,93817.75,,1225,4639.1,145.25,375.25,,,
Tulang Bawang Barat,5156.73,106.8,,1258.05,,1151.74,5286.9,3810.64,30047.3,,3393.34,19262,,698,44214,291.28,13042.69,4004,23801.07,7253,102.52,2138.2,1112.4,2705.35,211.6,536,3139.9
Pesisir Barat,10598.63,,,1388.01,9190.48,10392.5,1223.7,592.01,2571.32,,20265.88,4466.15,1112.36,6986.61,2544.82,296.77,68109.22,4300.83,18637.73,641.36,59.47,6230.8,716.8,1262.77,102.91,991.79,104.8
Kota Bandar Lampung,4060.95,13.75,,173.75,713,7046.2,257.4,715.3,538.3,,25,4015,3723.2,2403.44,2048.05,0.8,1052.44,1482.2,6048,122.85,36100,1138.55,42.95,511.45,64.35,0.14,30.3
Kota Metro,17015.84,45.6,,265.9,,2267.2,1394.85,1912.8,813.75,,1925.4,13736,,1110,10538.5,3.2,6180,997.6,5256.15,3826.57,,1395.82,1980.99,2866.15,108.4,29,145.5
Lampung,463855.29,2383.08,,28073.57,138316.12,693338.05,289085.89,200369.94,193097.7,42032.24,1010909.16,366034.4,29786.33,140654.22,446296.24,6971592.96,819572.99,218323.29,15823279.68,473857.94,105530.51,270150.74,44669.83,144417.62,35416.48,15792.29,51180.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catatan,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angka tetap,,,,,,,,,,,,,,,,,,,,,,,,,,,
